,name,age,country
0,Michael Phelps,23.0,United States
1,Michael Phelps,19.0,United States
2,Michael Phelps,27.0,United States
3,Natalie Coughlin,25.0,United States
4,Aleksey Nemov,24.0,Russia
5,Alicia Coutts,24.0,Australia
6,Missy Franklin,17.0,United States
7,Ryan Lochte,27.0,United States
8,Allison Schmitt,22.0,United States
9,Natalie Coughlin,21.0,United States
10,Ian Thorpe,17.0,Australia
11,Dara Torres,33.0,United States
12,Cindy Klassen,26.0,Canada
13,Nastia Liukin,18.0,United States
14,Marit Bjørgen,29.0,Norway
15,Sun Yang,20.0,China
16,Kirsty Coventry,24.0,Zimbabwe
17,Libby LentonTrickett,23.0,Australia
18,Ryan Lochte,24.0,United States
19,Inge de Bruijn,30.0,Netherlands
20,Petria Thomas,28.0,Australia
21,Ian Thorpe,21.0,Australia
22,Inge de Bruijn,27.0,Netherlands
23,Gary Hall Jr,25.0,United States
24,Michael Klim,23.0,Australia
25,Susie ONeill,27.0,Australia
26,Jenny Thompson,27.0,United States
27,Pieter van den Hoogenband,22.0,Netherlands
28,An HyeonSu,20.0,South Korea
29,Aliya Mustafina,17.0,Russia
30,Shawn Johnson,16.0,United States
31,Dmitry Sautin,26.0,Russia
32,Leontien Zijlaardvan Moorsel,30.0,Netherlands
33,Petter Northug Jr,24.0,Norway
34,Ole Einar Bjørndalen,28.0,Norway
35,Janica Kostelic,20.0,Croatia
36,Nathan Adrian,23.0,United States
37,Yannick Agnel,20.0,France
38,Brittany Elmslie,18.0,Australia
39,Matt Grevers,27.0,United States
40,Ryosuke Irie,22.0,Japan
41,Cullen Jones,28.0,United States
42,Ranomi Kromowidjojo,21.0,Netherlands
43,Camille Muffat,22.0,France
44,Mel Schlanger,25.0,Australia
45,Emily Seebohm,20.0,Australia
46,Rebecca Soni,25.0,United States
47,Satomi Suzuki,21.0,Japan
48,Dana Vollmer,24.0,United States
49,Alain Bernard,25.0,France
50,László Cseh Jr,22.0,Hungary
51,Matt Grevers,23.0,United States
52,Margaret Hoelzer,25.0,United States
53,Katie Hoff,19.0,United States
54,Leisel Jones,22.0,Australia
55,Kosuke Kitajima,25.0,Japan
56,Andrew Lauterstein,21.0,Australia
57,Jason Lezak,32.0,United States
58,Pang Jiaying,23.0,China
59,Aaron Peirsol,25.0,United States
60,Steph Rice,20.0,Australia
61,Jess Schipper,21.0,Australia
62,Rebecca Soni,21.0,United States
63,Eamon Sullivan,22.0,Australia
64,Dara Torres,41.0,United States
65,Amanda Beard,22.0,United States
66,Antje Buschschulte,25.0,Germany
67,Kirsty Coventry,20.0,Zimbabwe
68,Ian Crocker,21.0,United States
69,Grant Hackett,24.0,Australia
70,Brendan Hansen,22.0,United States
71,Jodie Henry,20.0,Australia
72,Otylia Jedrzejczak,20.0,Poland
73,Leisel Jones,18.0,Australia
74,Kosuke Kitajima,21.0,Japan
75,Laure Manaudou,17.0,France
76,Aaron Peirsol,21.0,United States
77,Kaitlin Sandeno,21.0,United States
78,Roland Schoeman,24.0,South Africa
79,Pieter van den Hoogenband,26.0,Netherlands
80,Therese Alshammar,23.0,Sweden
81,Yana Klochkova,18.0,Ukraine
82,Lenny Krayzelburg,24.0,United States
83,Massimiliano Rosolino,22.0,Italy
84,Petria Thomas,25.0,Australia
85,Matt Welsh,23.0,Australia
86,Lee JeongSu,20.0,South Korea
87,Apolo Anton Ohno,27.0,United States
88,Wang Meng,24.0,China
89,Jin SeonYu,17.0,South Korea
90,Lee HoSeok,19.0,South Korea
91,Apolo Anton Ohno,23.0,United States
92,Wang Meng,20.0,China
93,Marc Gagnon,26.0,Canada
94,Yang Yang A,25.0,China
95,Stephanie Beckert,21.0,Germany
96,Martina Sáblíková,22.0,Czech Republic
97,Enrico Fabris,24.0,Italy
98,Chad Hedrick,28.0,United States
99,Jochem Uytdehaage,25.0,Netherlands
100,Sabine Völker,28.0,Germany
101,Gregor Schlierenzauer,20.0,Austria
102,Lars Bystøl,27.0,Norway
103,Johnny Spillane,29.0,United States
104,Felix Gottwald,30.0,Austria
105,Georg Hettich,27.0,Germany
106,Felix Gottwald,26.0,Austria
107,Samppa Lajunen,22.0,Finland
108,Aly Raisman,18.0,United States
109,Kohei Uchimura,23.0,Japan
110,Zou Kai,24.0,China
111,Cheng Fei,20.0,China
112,Yang Wei,28.0,China
113,Yang Yilin,15.0,China
114,Zou Kai,20.0,China
115,Marian Dragulescu,23.0,Romania
116,Paul Hamm,21.0,United States
117,Carly Patterson,16.0,United States
118,Catalina Ponor,16.0,Romania
119,Simona Amânar,20.0,Romania
120,Svetlana Khorkina,21.0,Russia
121,Yekaterina Lobaznyuk,17.0,Russia
122,Yelena Zamolodchikova,17.0,Russia
123,Guo Shuang,26.0,China
124,Chris Hoy,32.0,Great Britain
125,Bradley Wiggins,24.0,Great Britain
126,Florian Rousseau,26.0,France
127,Justyna Kowalczyk,27.0,Poland
128,Johan Olsson,29.0,Sweden
129,Stefania Belmondo,33.0,Italy
130,Yuliya Chepalova,25.0,Russia
131,Frode Estil,29.0,Norway
132,Bente SkariMartinsen,29.0,Norway
133,Magdalena Neuner,23.0,Germany
134,Emil Hegle Svendsen,24.0,Norway
135,Albina Akhatova,29.0,Russia
136,Ole Einar Bjørndalen,32.0,Norway
137,Sven Fischer,34.0,Germany
138,Martina GlagowBeck,26.0,Germany
139,Michael Greis,29.0,Germany
140,Kati Wilhelm,29.0,Germany
141,Kati Wilhelm,25.0,Germany
142,Yohan Blake,22.0,Jamaica
143,Usain Bolt,25.0,Jamaica
144,Allyson Felix,26.0,United States
145,ShellyAnn FraserPryce,25.0,Jamaica
146,Carmelita Jeter,32.0,United States
147,Usain Bolt,21.0,Jamaica
148,Veronica CampbellBrown,22.0,Jamaica
149,Justin Gatlin,22.0,United States
150,Bode Miller,32.0,United States
151,Aksel Lund Svindal,27.0,Norway
