,year,gold_medal,silver_medal,bronze_medal,total_medal
0,2008,8,0,0,8
1,2004,6,0,2,8
2,2012,4,2,0,6
3,2008,1,2,3,6
4,2000,2,1,3,6
5,2012,1,3,1,5
6,2012,4,0,1,5
7,2012,2,2,1,5
8,2012,3,1,1,5
9,2004,2,2,1,5
10,2000,3,2,0,5
11,2000,2,0,3,5
12,2006,1,2,2,5
13,2008,1,3,1,5
14,2010,3,1,1,5
15,2012,2,1,1,4
16,2008,1,3,0,4
17,2008,2,1,1,4
18,2008,2,0,2,4
19,2004,1,1,2,4
20,2004,3,1,0,4
21,2004,2,1,1,4
22,2000,3,1,0,4
23,2000,2,1,1,4
24,2000,2,2,0,4
25,2000,1,3,0,4
26,2000,3,0,1,4
27,2000,2,0,2,4
28,2006,3,0,1,4
29,2012,1,1,2,4
30,2008,1,3,0,4
31,2000,1,1,2,4
32,2000,3,1,0,4
33,2010,2,1,1,4
34,2002,4,0,0,4
35,2002,3,1,0,4
36,2012,2,1,0,3
37,2012,2,1,0,3
38,2012,1,2,0,3
39,2012,2,1,0,3
40,2012,0,2,1,3
41,2012,1,2,0,3
42,2012,2,1,0,3
43,2012,1,1,1,3
44,2012,1,2,0,3
45,2012,1,2,0,3
46,2012,2,1,0,3
47,2012,0,1,2,3
48,2012,3,0,0,3
49,2008,1,1,1,3
50,2008,0,3,0,3
51,2008,2,1,0,3
52,2008,0,2,1,3
53,2008,0,1,2,3
54,2008,2,1,0,3
55,2008,2,0,1,3
56,2008,0,1,2,3
57,2008,2,0,1,3
58,2008,0,1,2,3
59,2008,2,1,0,3
60,2008,3,0,0,3
61,2008,1,0,2,3
62,2008,1,2,0,3
63,2008,0,2,1,3
64,2008,0,3,0,3
65,2004,1,2,0,3
66,2004,0,0,3,3
67,2004,1,1,1,3
68,2004,1,1,1,3
69,2004,1,2,0,3
70,2004,1,1,1,3
71,2004,3,0,0,3
72,2004,1,2,0,3
73,2004,1,1,1,3
74,2004,2,0,1,3
75,2004,1,1,1,3
76,2004,3,0,0,3
77,2004,1,1,1,3
78,2004,1,1,1,3
79,2004,1,2,0,3
80,2000,0,2,1,3
81,2000,2,1,0,3
82,2000,3,0,0,3
83,2000,1,1,1,3
84,2000,0,2,1,3
85,2000,0,2,1,3
86,2010,2,1,0,3
87,2010,0,1,2,3
88,2010,3,0,0,3
89,2006,3,0,0,3
90,2006,1,2,0,3
91,2006,1,0,2,3
92,2006,1,1,1,3
93,2002,2,0,1,3
94,2002,2,1,0,3
95,2010,1,2,0,3
96,2010,2,0,1,3
97,2006,2,0,1,3
98,2006,1,1,1,3
99,2002,2,1,0,3
100,2002,0,2,1,3
101,2010,1,0,2,3
102,2006,1,0,2,3
103,2010,0,3,0,3
104,2006,2,1,0,3
105,2006,1,1,1,3
106,2002,0,0,3,3
107,2002,3,0,0,3
108,2012,2,0,1,3
109,2012,1,2,0,3
110,2012,2,0,1,3
111,2008,1,0,2,3
112,2008,2,1,0,3
113,2008,1,0,2,3
114,2008,3,0,0,3
115,2004,0,1,2,3
116,2004,1,2,0,3
117,2004,1,2,0,3
118,2004,3,0,0,3
119,2000,2,0,1,3
120,2000,1,2,0,3
121,2000,0,2,1,3
122,2000,2,1,0,3
123,2012,0,2,1,3
124,2008,3,0,0,3
125,2004,1,1,1,3
126,2000,2,1,0,3
127,2010,1,1,1,3
128,2010,1,0,2,3
129,2002,1,1,1,3
130,2002,1,1,1,3
131,2002,2,1,0,3
132,2002,1,1,1,3
133,2010,2,1,0,3
134,2010,2,1,0,3
135,2006,1,0,2,3
136,2006,0,2,1,3
137,2006,2,0,1,3
138,2006,0,3,0,3
139,2006,3,0,0,3
140,2006,1,2,0,3
141,2002,2,1,0,3
142,2012,1,2,0,3
143,2012,3,0,0,3
144,2012,3,0,0,3
145,2012,1,2,0,3
146,2012,1,1,1,3
147,2008,3,0,0,3
148,2004,2,0,1,3
149,2004,1,1,1,3
150,2010,1,1,1,3
151,2010,1,1,1,3
152,2006,1,0,2,3
153,2002,1,1,1,3
