,name,sports,year
0,Michael Phelps,Swimming,2008
1,Michael Phelps,Swimming,2004
2,Michael Phelps,Swimming,2012
3,Natalie Coughlin,Swimming,2008
4,Aleksey Nemov,Gymnastics,2000
5,Alicia Coutts,Swimming,2012
6,Missy Franklin,Swimming,2012
7,Ryan Lochte,Swimming,2012
8,Allison Schmitt,Swimming,2012
9,Natalie Coughlin,Swimming,2004
10,Ian Thorpe,Swimming,2000
11,Dara Torres,Swimming,2000
12,Cindy Klassen,Speed Skating,2006
13,Nastia Liukin,Gymnastics,2008
14,Marit Bjørgen,Cross Country Skiing,2010
15,Sun Yang,Swimming,2012
16,Kirsty Coventry,Swimming,2008
17,Libby LentonTrickett,Swimming,2008
18,Ryan Lochte,Swimming,2008
19,Inge de Bruijn,Swimming,2004
20,Petria Thomas,Swimming,2004
21,Ian Thorpe,Swimming,2004
22,Inge de Bruijn,Swimming,2000
23,Gary Hall Jr,Swimming,2000
24,Michael Klim,Swimming,2000
25,Susie ONeill,Swimming,2000
26,Jenny Thompson,Swimming,2000
27,Pieter van den Hoogenband,Swimming,2000
28,An HyeonSu,Short-Track Speed Skating,2006
29,Aliya Mustafina,Gymnastics,2012
30,Shawn Johnson,Gymnastics,2008
31,Dmitry Sautin,Diving,2000
32,Leontien Zijlaardvan Moorsel,Cycling,2000
33,Petter Northug Jr,Cross Country Skiing,2010
34,Ole Einar Bjørndalen,Biathlon,2002
35,Janica Kostelic,Alpine Skiing,2002
36,Nathan Adrian,Swimming,2012
37,Yannick Agnel,Swimming,2012
38,Brittany Elmslie,Swimming,2012
39,Matt Grevers,Swimming,2012
40,Ryosuke Irie,Swimming,2012
41,Cullen Jones,Swimming,2012
42,Ranomi Kromowidjojo,Swimming,2012
43,Camille Muffat,Swimming,2012
44,Mel Schlanger,Swimming,2012
45,Emily Seebohm,Swimming,2012
46,Rebecca Soni,Swimming,2012
47,Satomi Suzuki,Swimming,2012
48,Dana Vollmer,Swimming,2012
49,Alain Bernard,Swimming,2008
50,László Cseh Jr,Swimming,2008
51,Matt Grevers,Swimming,2008
52,Margaret Hoelzer,Swimming,2008
53,Katie Hoff,Swimming,2008
54,Leisel Jones,Swimming,2008
55,Kosuke Kitajima,Swimming,2008
56,Andrew Lauterstein,Swimming,2008
57,Jason Lezak,Swimming,2008
58,Pang Jiaying,Swimming,2008
59,Aaron Peirsol,Swimming,2008
60,Steph Rice,Swimming,2008
61,Jess Schipper,Swimming,2008
62,Rebecca Soni,Swimming,2008
63,Eamon Sullivan,Swimming,2008
64,Dara Torres,Swimming,2008
65,Amanda Beard,Swimming,2004
66,Antje Buschschulte,Swimming,2004
67,Kirsty Coventry,Swimming,2004
68,Ian Crocker,Swimming,2004
69,Grant Hackett,Swimming,2004
70,Brendan Hansen,Swimming,2004
71,Jodie Henry,Swimming,2004
72,Otylia Jedrzejczak,Swimming,2004
73,Leisel Jones,Swimming,2004
74,Kosuke Kitajima,Swimming,2004
75,Laure Manaudou,Swimming,2004
76,Aaron Peirsol,Swimming,2004
77,Kaitlin Sandeno,Swimming,2004
78,Roland Schoeman,Swimming,2004
79,Pieter van den Hoogenband,Swimming,2004
80,Therese Alshammar,Swimming,2000
81,Yana Klochkova,Swimming,2000
82,Lenny Krayzelburg,Swimming,2000
83,Massimiliano Rosolino,Swimming,2000
84,Petria Thomas,Swimming,2000
85,Matt Welsh,Swimming,2000
86,Lee JeongSu,Short-Track Speed Skating,2010
87,Apolo Anton Ohno,Short-Track Speed Skating,2010
88,Wang Meng,Short-Track Speed Skating,2010
89,Jin SeonYu,Short-Track Speed Skating,2006
90,Lee HoSeok,Short-Track Speed Skating,2006
91,Apolo Anton Ohno,Short-Track Speed Skating,2006
92,Wang Meng,Short-Track Speed Skating,2006
93,Marc Gagnon,Short-Track Speed Skating,2002
94,Yang Yang A,Short-Track Speed Skating,2002
95,Stephanie Beckert,Speed Skating,2010
96,Martina Sáblíková,Speed Skating,2010
97,Enrico Fabris,Speed Skating,2006
98,Chad Hedrick,Speed Skating,2006
99,Jochem Uytdehaage,Speed Skating,2002
100,Sabine Völker,Speed Skating,2002
101,Gregor Schlierenzauer,Ski Jumping,2010
102,Lars Bystøl,Ski Jumping,2006
103,Johnny Spillane,Nordic Combined,2010
104,Felix Gottwald,Nordic Combined,2006
105,Georg Hettich,Nordic Combined,2006
106,Felix Gottwald,Nordic Combined,2002
107,Samppa Lajunen,Nordic Combined,2002
108,Aly Raisman,Gymnastics,2012
109,Kohei Uchimura,Gymnastics,2012
110,Zou Kai,Gymnastics,2012
111,Cheng Fei,Gymnastics,2008
112,Yang Wei,Gymnastics,2008
113,Yang Yilin,Gymnastics,2008
114,Zou Kai,Gymnastics,2008
115,Marian Dragulescu,Gymnastics,2004
116,Paul Hamm,Gymnastics,2004
117,Carly Patterson,Gymnastics,2004
118,Catalina Ponor,Gymnastics,2004
119,Simona Amânar,Gymnastics,2000
120,Svetlana Khorkina,Gymnastics,2000
121,Yekaterina Lobaznyuk,Gymnastics,2000
122,Yelena Zamolodchikova,Gymnastics,2000
123,Guo Shuang,Cycling,2012
124,Chris Hoy,Cycling,2008
125,Bradley Wiggins,Cycling,2004
126,Florian Rousseau,Cycling,2000
127,Justyna Kowalczyk,Cross Country Skiing,2010
128,Johan Olsson,Cross Country Skiing,2010
129,Stefania Belmondo,Cross Country Skiing,2002
130,Yuliya Chepalova,Cross Country Skiing,2002
131,Frode Estil,Cross Country Skiing,2002
132,Bente SkariMartinsen,Cross Country Skiing,2002
